geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
01037,-23.54562128,-46.63929205,sao paulo,SP
01046,-23.54608113,-46.6448203,sao paulo,SP
01046,-23.54612897,-46.64295148,sao paulo,SP
01041,-23.54439216,-46.63949931,sao paulo,SP
01035,-23.54157796,-46.64160722,sao paulo,SP
01012,-23.5477623,-46.63536054,ṣo paulo,SP
01047,-23.54627311,-46.64122517,sao paulo,SP
01013,-23.54692321,-46.6342637,sao paulo,SP
01029,-23.54376906,-46.63427784,sao paulo,SP
01011,-23.54763955,-46.63603162,sao paulo,SP
01013,-23.54732513,-46.63418379,sao paulo,SP
01032,-23.5384181,-46.63477838,sao paulo,SP
01014,-23.54643534,-46.63383023,sao paulo,SP
01012,-23.54894599,-46.63467113,sao paulo,SP
01037,-23.54518734,-46.63785524,ṣo paulo,SP
01046,-23.54608113,-46.6448203,sao paulo,SP
01039,-23.54188301,-46.63991947,sao paulo,SP
01024,-23.54138952,-46.62989909,ṣo paulo,SP
01009,-23.5469354,-46.63658793,sao paulo,SP
01046,-23.54588428,-46.64316319,sao paulo,SP
01046,-23.54516589,-46.6437858,sao paulo,SP
01020,-23.55223547,-46.62844066,ṣo paulo,SP
01011,-23.54669049,-46.63544696,ṣo paulo,SP
01043,-23.54665672,-46.64078762,ṣo paulo,SP
17280,-22.32264402,-48.79860082,pederneiras,SP
17250,-22.08826684,-48.75053046,bariri,SP
17250,-22.07456627,-48.73643121,bariri,SP
17201,-22.29230844,-48.56148816,jau,SP
17208,-22.27001782,-48.55894411,jau,SP
17209,-22.27617918,-48.546365,ja̼,SP
17280,-22.31018878,-48.89001259,pederneiras,SP
17240,-22.14073037,-48.51779452,bocaina,SP
17280,-22.34859672,-48.77773414,pederneiras,SP
17280,-22.34515075,-48.7905579,pederneiras,SP
17290,-22.51958624,-48.71978086,macatuba,SP
17250,-22.08940252,-48.74920549,bariri,SP
17250,-22.06288274,-48.73323274,bariri,SP
17230,-22.23088859,-48.7365491,itapui,SP
17203,-22.3007673,-48.57038889,ja̼,SP
17214,-22.29250478,-48.51538234,ja̼,SP
17240,-22.12998317,-48.52105734,bocaina,SP
17204,-22.29091706,-48.57692695,jau,SP
17210,-22.29375051,-48.55173183,jau,SP
17205,-22.29675771,-48.56857738,jau,SP
17250,-22.07576943,-48.7490151,bariri,SP
17213,-22.30338046,-48.58284018,ja̼,SP
17250,-22.07496471,-48.74344233,bariri,SP
17280,-22.34646206,-48.78617661,pederneiras,SP
17201,-22.29791226,-48.55774808,jau,SP
65603,-4.835365432,-43.3636323,caxias,MA
65634,-5.110146125,-42.83320477,timon,MA
65603,-4.838659715,-43.34668693,caxias,MA
65636,-5.097504035,-42.83882987,timon,MA
65609,-4.869360054,-43.36620294,caxias,MA
65645,-5.5217444,-43.20150833,matoes,MA
65665,-6.493858876,-43.70969688,sao joao dos patos,MA
65685,-5.84390582,-43.83888934,buriti bravo,MA
65610,-4.636776336,-43.47205668,aldeias altas,MA
65606,-4.882670703,-43.35112825,caxias,MA
65620,-4.261626322,-43.01834521,coelho neto,MA
65610,-4.632194461,-43.47327252,aldeias altas,MA
65680,-6.180924008,-43.78046305,passagem franca,MA
65665,-6.495704516,-43.70510792,ṣo jọo dos patos,MA
65609,-4.882962758,-43.36274914,caxias,MA
65636,-5.100474849,-42.83247431,timon,MA
65665,-6.493858876,-43.70969688,sao joao dos patos,MA
65680,-6.191699353,-43.77988859,passagem franca,MA
65683,-6.049312683,-43.52609158,lagoa do mato,MA
65630,-5.101044932,-42.820299,timon,MA
65636,-5.105978336,-42.83064647,timon,MA
65690,-6.033962712,-44.23468166,colinas,MA
65603,-4.839479348,-43.346576,caxias,MA
65630,-5.111053668,-42.82295362,timon,MA
65609,-4.816374177,-43.097115,caxias,MA
65602,-4.860796808,-43.36199707,caxias,MA
65695,-5.7306671,-44.15111404,fortuna,MA
65665,-6.494539946,-43.69397142,sao joao dos patos,MA
65600,-4.858565981,-43.34922723,caxias,MA
65630,-5.097063428,-42.82256651,timon,MA
65633,-5.116983224,-42.84608488,timon,MA
65609,-4.870518287,-43.36523109,caxias,MA
65605,-4.869779893,-43.34898181,caxias,MA
65670,-6.431767128,-43.98887869,paraibano,MA
65695,-5.7314148,-44.15673496,fortuna,MA
65603,-4.835365432,-43.3636323,caxias,MA
65665,-6.50075977,-43.70292468,sao joao dos patos,MA
65606,-4.865113717,-43.36156119,caxias,MA
65680,-6.18038916,-43.78796129,passagem franca,MA
65636,-5.100898094,-42.84090856,timon,MA
65640,-5.680758048,-43.08975371,parnarama,MA
65606,-4.885010843,-43.351463,caxias,MA
65636,-5.107393379,-42.8313701,timon,MA
65665,-6.496854929,-43.69704792,sao joao dos patos,MA
65620,-4.245017792,-43.0140329,coelho neto,MA
65690,-6.026789126,-44.24530113,colinas,MA
65695,-5.7306671,-44.15111404,fortuna,MA
65665,-6.493025602,-43.69640775,sao joao dos patos,MA
65636,-5.09480956,-42.84114634,timon,MA
65609,-4.876907527,-43.36503531,caxias,MA
65650,-6.252255241,-42.85788508,sao francisco do maranhao,MA
65603,-4.852785971,-43.35286065,caxias,MA
65606,-4.865436993,-43.35208649,caxias,MA
65685,-5.841626759,-43.83714628,buriti bravo,MA
65636,-5.120891991,-42.8445712,timon,MA
65607,-4.876470556,-43.36709165,caxias,MA
65680,-6.178731394,-43.77899616,passagem franca,MA
65610,-4.626507061,-43.46587771,aldeias altas,MA
65630,-5.101044932,-42.820299,timon,MA
65607,-4.869708922,-43.36679311,caxias,MA
65600,-4.859779198,-43.3517512,caxias,MA
65670,-6.431136729,-43.98442774,paraibano,MA
65690,-6.031957702,-44.25335931,colinas,MA
65665,-6.49300783,-43.69697791,ṣo jọo dos patos,MA
65690,-6.027232882,-44.24767896,colinas,MA
65670,-6.431767128,-43.98887869,paraibano,MA
65606,-4.873119577,-43.36325723,caxias,MA
65602,-4.849406454,-43.36062789,caxias,MA
65660,-6.710691356,-43.21561364,barao de grajau,MA
65690,-6.030349075,-44.2454896,colinas,MA
65604,-4.86947313,-43.34880123,caxias,MA
65630,-5.110658095,-42.82177551,timon,MA
65620,-4.263069819,-43.02353102,coelho neto,MA
65602,-4.86132014,-43.3625408,caxias,MA
65606,-4.881244212,-43.34884085,caxias,MA
65668,-6.411225384,-43.54672551,sucupira do riachao,MA
65631,-5.088777838,-42.84573408,timon,MA
65610,-4.636431809,-43.47305352,aldeias altas,MA
65693,-5.815930735,-44.22513184,jatoba,MA
65640,-5.681975742,-43.09068,parnarama,MA
65645,-5.523331862,-43.2034224,matoes,MA
65645,-5.520254757,-43.20540102,matoes,MA
65609,-4.875147384,-43.3648584,caxias,MA
65610,-4.636431809,-43.47305352,aldeias altas,MA
65690,-6.026392606,-44.24779885,colinas,MA
65606,-4.86693254,-43.35940596,caxias,MA
65630,-5.101697536,-42.82018072,timon,MA
65605,-4.877632358,-43.34800025,caxias,MA
65603,-4.835365432,-43.3636323,caxias,MA
65608,-4.866765399,-43.37984585,caxias,MA
65609,-4.876105977,-43.37152391,caxias,MA
65631,-5.083533435,-42.8387247,timon,MA
65636,-5.093764535,-42.83576064,timon,MA
65665,-6.492425561,-43.70430702,sao joao dos patos,MA
65602,-4.851934053,-43.36340692,caxias,MA
65680,-6.178731394,-43.77899616,passagem franca,MA
65610,-4.629506239,-43.47065136,aldeias altas,MA
65636,-5.100787944,-42.83518961,timon,MA
65607,-4.869784722,-43.36836295,caxias,MA
65607,-4.890067498,-43.35504781,caxias,MA
65636,-5.115702377,-42.83737799,timon,MA
65607,-4.865232071,-43.36873445,caxias,MA
65604,-4.868922482,-43.33907962,caxias,MA
65636,-5.103002331,-42.8395976,timon,MA
65609,-4.881041072,-43.37952889,caxias,MA
65636,-5.117069844,-42.83416428,timon,MA
65606,-4.89200632,-43.34982608,caxias,MA
65620,-4.25726832,-43.01518646,coelho neto,MA
65600,-4.866976925,-43.36752381,caxias,MA
65636,-5.118021,-42.82875225,timon,MA
65602,-4.857799013,-43.35088088,caxias,MA
65602,-4.856945197,-43.3606756,caxias,MA
65660,-6.757230563,-43.02127376,barao de grajau,MA
65610,-4.576782,-43.44119,aldeias altas,MA
65602,-4.857925315,-43.36117989,caxias,MA
65620,-4.25680897,-43.00828748,coelho neto,MA
65615,-5.118474838,-43.81084018,sao joao do soter,MA
65608,-4.841952444,-43.34746317,caxias,MA
65670,-6.43253352,-43.98635709,paraibano,MA
65665,-6.496880894,-43.69064659,sao joao dos patos,MA
65608,-4.865161963,-43.37806554,caxias,MA
65615,-5.112117601,-43.81162687,ṣo jọo do soter,MA
65620,-4.256219855,-43.00870659,coelho neto,MA
65600,-4.86628809,-43.35531983,caxias,MA
65645,-5.525944476,-43.21030648,matoes,MA
65604,-4.862361537,-43.35564311,caxias,MA
65670,-6.429906878,-43.98594889,paraibano,MA
65620,-4.264953742,-43.02019826,coelho neto,MA
65606,-4.909462686,-43.35341364,caxias,MA
65670,-6.432603688,-43.98612554,paraibano,MA
65685,-5.8401855,-43.833465,buriti bravo,MA
65608,-4.864180429,-43.36336816,caxias,MA
65670,-6.429273187,-43.99214089,paraibano,MA
65680,-6.175256858,-43.77655866,passagem franca,MA
65636,-5.10406534,-42.83503842,timon,MA
65640,-5.676824414,-43.09131719,parnarama,MA
65645,-5.523331862,-43.2034224,matoes,MA
65609,-4.884368776,-43.36904086,caxias,MA
65610,-4.63174094,-43.47079886,aldeias altas,MA
65640,-5.684132309,-43.09083271,parnarama,MA
65645,-5.523331862,-43.2034224,matoes,MA
65606,-4.867118751,-43.36101963,caxias,MA
95110,-29.19591638,-51.24468374,caxias do sul,RS
95180,-29.23511681,-51.35975136,farroupilha,RS
95180,-29.22761518,-51.34449212,farroupilha,RS
95150,-29.37734527,-51.11337765,nova petropolis,RS
95170,-29.23006516,-51.34659677,farroupilha,RS
95150,-29.362563,-51.1097175,nova petropolis,RS
95185,-29.2945783,-51.49866883,carlos barbosa,RS
95170,-30.0260347,-51.21079085,farroupilha,RS
95190,-28.96838937,-51.06332037,sao marcos,RS
95185,-29.30104607,-51.49910661,carlos barbosa,RS
95180,-29.22300125,-51.31348662,farroupilha,RS
95190,-28.97266386,-51.07968336,sao marcos,RS
95170,-29.23184009,-51.35559883,farroupilha,RS
95185,-29.29932263,-51.50438638,carlos barbosa,RS
95185,-29.29578137,-51.50032217,carlos barbosa,RS
95170,-29.22351,-51.3363328,farroupilha,RS
95185,-29.29366427,-51.51094961,carlos barbosa,RS
95150,-29.37360088,-51.1084691,nova petropolis,RS
95190,-28.95639052,-51.07350664,sao marcos,RS
95180,-29.21985109,-51.3338957,farroupilha,RS
95190,-28.96423814,-51.07231523,sao marcos,RS
95180,-29.20950293,-51.32228721,farroupilha,RS
95185,-29.2882815,-51.499521,carlos barbosa,RS
95180,-29.23270935,-51.33791092,farroupilha,RS
95180,-29.2378008,-51.34868125,farroupilha,RS
24751,-22.8771943,-42.99333375,ṣo gon̤alo,RJ
24715,-22.801126,-42.99247884,sao goncalo,RJ
24755,-22.85098151,-43.01896535,sao goncalo,RJ
24725,-22.80596357,-42.9650443,sao goncalo,RJ
24732,-22.82310525,-42.96893884,sao goncalo,RJ
24738,-22.84462092,-42.94400462,sao goncalo,RJ
24711,-22.81801739,-42.99448047,sao goncalo,RJ
24724,-22.80015584,-42.95459045,sao goncalo,RJ
24752,-22.88443141,-42.9836306,sao goncalo,RJ
24731,-22.824234,-42.983685,sao goncalo,RJ
24730,-22.83040604,-42.97793765,sao goncalo,RJ
24752,-22.88362956,-42.98398728,sao goncalo,RJ
24730,-22.83101179,-42.97567635,sao goncalo,RJ
24752,-22.88320899,-42.98161799,sao goncalo,RJ
24721,-22.79184011,-42.98015169,sao goncalo,RJ
24754,-22.87398471,-43.03123631,ṣo gon̤alo,RJ
24738,-22.85111895,-42.95492519,sao goncalo,RJ
24710,-22.82314187,-43.00474753,sao goncalo,RJ
24710,-22.8250105,-43.00441052,sao goncalo,RJ
24724,-22.80318053,-42.94472523,sao goncalo,RJ
24722,-22.80510152,-42.96636322,sao goncalo,RJ
24711,-22.82025031,-42.99312157,sao goncalo,RJ
24751,-22.8348045,-43.05156467,sao goncalo,RJ
24740,-22.83802118,-43.00779926,ṣo gon̤alo,RJ
24743,-22.85150395,-42.9949644,sao goncalo,RJ
24743,-22.84571543,-42.99263758,ṣo gon̤alo,RJ
24716,-22.78317431,-43.00540493,ṣo gon̤alo,RJ
24716,-22.791549,-43.00092472,sao goncalo,RJ
24751,-22.86261946,-43.00787035,sao goncalo,RJ
24751,-22.86247797,-43.00786947,sao goncalo,RJ
24751,-22.87717787,-42.99369521,sao goncalo,RJ
24710,-22.81882615,-43.00159443,sao goncalo,RJ
24755,-22.85984479,-43.01744402,sao goncalo,RJ
24730,-22.829472,-42.9912675,sao goncalo,RJ
24738,-22.85095092,-42.94450387,sao goncalo,RJ
24743,-22.85150395,-42.9949644,sao goncalo,RJ
24738,-22.85844254,-42.94004468,sao goncalo,RJ
24751,-22.87716817,-42.99390862,sao goncalo,RJ
24727,-22.78379201,-42.94872916,sao goncalo,RJ
24715,-22.81196141,-43.0022374,sao goncalo,RJ
24726,-22.78617073,-42.94918449,ṣo gon̤alo,RJ
24753,-22.88702753,-42.98815515,sao goncalo,RJ
24743,-22.848606,-42.99903675,sao goncalo,RJ
24756,-22.89184837,-43.00617726,ṣo gon̤alo,RJ
24730,-22.83066158,-42.98499574,sao goncalo,RJ
24720,-22.81870611,-42.98569887,ṣo gon̤alo,RJ
24751,-22.869207,-43.0047135,sao goncalo,RJ
24736,-22.8185325,-42.967404,sao goncalo,RJ
24745,-22.85006679,-43.00731,sao goncalo,RJ
24755,-22.86581591,-43.00816121,sao goncalo,RJ
24742,-22.83900363,-43.00554503,sao goncalo,RJ
24723,-22.81720877,-42.95344751,sao goncalo,RJ
24710,-22.82216397,-42.99981498,ṣo gon̤alo,RJ
24710,-22.82689063,-42.99785347,sao goncalo,RJ
24725,-22.81924651,-42.97704272,sao goncalo,RJ
24756,-22.87374047,-43.01765301,sao goncalo,RJ
24725,-22.80776488,-42.97884959,sao goncalo,RJ
24710,-22.81882615,-43.00159443,sao goncalo,RJ
24744,-22.83140028,-43.00414984,sao goncalo,RJ
24744,-22.84893112,-43.01511111,sao goncalo,RJ
24751,-22.87716786,-42.99391554,sao goncalo,RJ
24753,-22.88187986,-42.99092549,sao goncalo,RJ
24710,-22.82514436,-42.99966922,sao goncalo,RJ
24744,-22.84521978,-43.01790425,sao goncalo,RJ
24730,-22.82590297,-42.98790772,sao goncalo,RJ
24732,-22.82406111,-42.98032241,sao goncalo,RJ
24716,-22.78531448,-43.00061157,sao goncalo,RJ
24744,-22.85320371,-43.0136645,sao goncalo,RJ
24715,-22.79081317,-42.9890534,sao goncalo,RJ
24740,-22.82740557,-42.9954345,sao goncalo,RJ
24743,-22.84100373,-42.99679882,ṣo gon̤alo,RJ
24754,-22.8680685,-43.01979549,sao goncalo,RJ
31170,-19.89087969,-43.92751656,belo horizonte,MG
31170,-19.88816755,-43.92565821,belo horizonte,MG
31140,-19.89272083,-43.93109123,belo horizonte,MG
31130,-19.89294504,-43.94159246,belo horizonte,MG
31160,-19.88507092,-43.93307302,belo horizonte,MG
31170,-19.89031396,-43.92376522,belo horizonte,MG
31170,-19.89025338,-43.92377634,belo horizonte,MG
31170,-19.8878157,-43.92326479,belo horizonte,MG
31170,-19.89186426,-43.92477432,belo horizonte,MG
31170,-19.89243668,-43.92768638,belo horizonte,MG
31110,-19.90095594,-43.94729389,belo horizonte,MG
31160,-19.88427653,-43.93369977,belo horizonte,MG
31170,-19.88958038,-43.92601854,belo horizonte,MG
31110,-19.91240446,-43.93427366,belo horizonte,MG
31170,-19.89267375,-43.92457772,belo horizonte,MG
31170,-19.88614129,-43.91941858,belo horizonte,MG
31140,-19.89168436,-43.92944115,belo horizonte,MG
31170,-19.89214657,-43.92661505,belo horizonte,MG
31170,-19.87973889,-43.91849878,belo horizonte,MG
